Location,timestamp,Temperature,Temperature_IoTDeviceID,Humidity,Humidity_IoTDeviceID,InTemperature,InTemperature_IoTDeviceID,GrainTemperature1,GrainTemperature1_IoTDeviceID,GrainTemperature2,GrainTemperature2_IoTDeviceID,GrainTemperature3,GrainTemperature3_IoTDeviceID,
Silo1,2024-05-01 11:00:00,0.0,null,0.0,null,0.0,null,-11.4,GrainTemp1,10.4,GrainTemp2,-10.9,GrainTemp3,
Silo1,2024-05-01 12:00:00,0.0,null,0.0,null,0.0,null,1.3,GrainTemp1,10.1,GrainTemp2,-10.3,GrainTemp3,
Silo1,2024-05-01 13:00:00,0.0,null,0.0,null,0.0,null,-1.6,GrainTemp1,-8.3,GrainTemp2,3.6,GrainTemp3,
Silo1,2024-05-01 14:00:00,21.8,Temp1,34.3,Humd1,14.9,InTemp1,9.8,GrainTemp1,-12.2,GrainTemp2,1.3,GrainTemp3,
Silo1,2024-05-01 15:00:00,0.0,null,0.0,null,0.0,null,8.0,GrainTemp1,12.7,GrainTemp2,7.6,GrainTemp3,
Silo1,2024-05-01 16:00:00,0.0,null,0.0,null,0.0,null,8.4,GrainTemp1,2.5,GrainTemp2,-15.5,GrainTemp3,
Silo1,2024-05-01 17:00:00,0.0,null,0.0,null,0.0,null,-2.6,GrainTemp1,-0.5,GrainTemp2,-48.6,GrainTemp3,
Silo1,2024-05-02 08:00:00,19.5,Temp1,20.4,Humd1,21.0,InTemp1,3.1,GrainTemp1,-0.8,GrainTemp2,-0.3,GrainTemp3,
Silo1,2024-05-02 09:00:00,0.0,null,0.0,null,0.0,null,-8.1,GrainTemp1,-12.1,GrainTemp2,12.9,GrainTemp3,
Silo1,2024-05-02 10:00:00,0.0,null,0.0,null,0.0,null,9.0,GrainTemp1,-0.7,GrainTemp2,7.9,GrainTemp3,
Silo1,2024-05-02 11:00:00,0.0,null,0.0,null,0.0,null,-6.6,GrainTemp1,-17.5,GrainTemp2,-15.6,GrainTemp3,
Silo1,2024-05-02 12:00:00,0.0,null,0.0,null,0.0,null,0.8,GrainTemp1,3.2,GrainTemp2,-3.8,GrainTemp3,
Silo1,2024-05-02 13:00:00,0.0,null,0.0,null,0.0,null,-16.3,GrainTemp1,12.2,GrainTemp2,0.3,GrainTemp3,
Silo1,2024-05-02 14:00:00,22.8,Temp1,29.9,Humd1,19.8,InTemp1,-7.3,GrainTemp1,-1.0,GrainTemp2,0.3,GrainTemp3,
Silo1,2024-05-02 15:00:00,0.0,null,0.0,null,0.0,null,10.6,GrainTemp1,-0.7,GrainTemp2,5.2,GrainTemp3,
Silo1,2024-05-02 16:00:00,0.0,null,0.0,null,0.0,null,-9.5,GrainTemp1,-16.6,GrainTemp2,5.8,GrainTemp3,
Silo1,2024-05-02 17:00:00,0.0,null,0.0,null,0.0,null,4.5,GrainTemp1,-6.5,GrainTemp2,-11.6,GrainTemp3,
Silo1,2024-05-03 08:00:00,10.7,Temp1,6.3,Humd1,17.9,InTemp1,-3.7,GrainTemp1,0.7,GrainTemp2,-0.5,GrainTemp3,
Silo1,2024-05-03 09:00:00,0.0,null,0.0,null,0.0,null,1.3,GrainTemp1,-7.4,GrainTemp2,12.2,GrainTemp3,
Silo1,2024-05-03 10:00:00,0.0,null,0.0,null,0.0,null,2.9,GrainTemp1,-8.3,GrainTemp2,14.5,GrainTemp3,
Silo1,2024-05-03 11:00:00,0.0,null,0.0,null,0.0,null,-18.3,GrainTemp1,-19.2,GrainTemp2,8.5,GrainTemp3,
Silo1,2024-05-03 12:00:00,0.0,null,0.0,null,0.0,null,12.9,GrainTemp1,8.5,GrainTemp2,11.8,GrainTemp3,
Silo1,2024-05-03 13:00:00,0.0,null,0.0,null,0.0,null,-6.8,GrainTemp1,-5.2,GrainTemp2,-47.4,GrainTemp3,
Silo1,2024-05-03 14:00:00,12.9,Temp1,25.2,Humd1,11.4,InTemp1,-10.5,GrainTemp1,-14.4,GrainTemp2,-34.5,GrainTemp3,
Silo1,2024-05-03 15:00:00,0.0,null,0.0,null,0.0,null,-1.1,GrainTemp1,0.1,GrainTemp2,-58.4,GrainTemp3,
Silo1,2024-05-03 16:00:00,0.0,null,0.0,null,0.0,null,-15.0,GrainTemp1,-0.2,GrainTemp2,-5.7,GrainTemp3,
Silo1,2024-05-03 17:00:00,0.0,null,0.0,null,0.0,null,-0.6,GrainTemp1,2.5,GrainTemp2,-14.8,GrainTemp3,
Silo1,2024-05-04 08:00:00,10.4,Temp1,13.4,Humd1,10.6,InTemp1,6.0,GrainTemp1,1.2,GrainTemp2,14.0,GrainTemp3,
Silo1,2024-05-04 09:00:00,0.0,null,0.0,null,0.0,null,-7.8,GrainTemp1,-20.2,GrainTemp2,-5.8,GrainTemp3,
Silo1,2024-05-04 10:00:00,0.0,null,0.0,null,0.0,null,9.0,GrainTemp1,4.5,GrainTemp2,0.2,GrainTemp3,
Silo1,2024-05-04 11:00:00,0.0,null,0.0,null,0.0,null,-12.2,GrainTemp1,6.6,GrainTemp2,-15.2,GrainTemp3,
Silo1,2024-05-04 12:00:00,0.0,null,0.0,null,0.0,null,0.8,GrainTemp1,-20.2,GrainTemp2,3.9,GrainTemp3,
Silo1,2024-05-04 13:00:00,0.0,null,0.0,null,0.0,null,-11.4,GrainTemp1,13.8,GrainTemp2,-10.5,GrainTemp3,
Silo1,2024-05-04 14:00:00,14.9,Temp1,24.6,Humd1,20.1,InTemp1,-11.4,GrainTemp1,-16.7,GrainTemp2,-32.9,GrainTemp3,
Silo1,2024-05-04 15:00:00,0.0,null,0.0,null,0.0,null,-10.0,GrainTemp1,-1.6,GrainTemp2,-49.4,GrainTemp3,
Silo1,2024-05-04 16:00:00,0.0,null,0.0,null,0.0,null,10.2,GrainTemp1,14.9,GrainTemp2,-18.9,GrainTemp3,
Silo1,2024-05-04 17:00:00,0.0,null,0.0,null,0.0,null,-14.9,GrainTemp1,-14.4,GrainTemp2,-31.7,GrainTemp3,
Silo1,2024-05-05 08:00:00,15.0,Temp1,18.9,Humd1,6.9,InTemp1,-30.5,GrainTemp1,-30.3,GrainTemp2,-2.2,GrainTemp3,
Silo1,2024-05-05 09:00:00,0.0,null,0.0,null,0.0,null,-10.0,GrainTemp1,-4.5,GrainTemp2,-87.4,GrainTemp3,
Silo1,2024-05-05 10:00:00,0.0,null,0.0,null,0.0,null,3.8,GrainTemp1,-7.9,GrainTemp2,-12.2,GrainTemp3,
Silo1,2024-05-05 11:00:00,0.0,null,0.0,null,0.0,null,-33.0,GrainTemp1,-32.0,GrainTemp2,7.8,GrainTemp3,
Silo1,2024-05-05 12:00:00,0.0,null,0.0,null,0.0,null,12.3,GrainTemp1,-4.8,GrainTemp2,-17.2,GrainTemp3,
Silo1,2024-05-05 13:00:00,0.0,null,0.0,null,0.0,null,-13.7,GrainTemp1,-12.2,GrainTemp2,-13.1,GrainTemp3,
Silo1,2024-05-05 14:00:00,19.6,Temp1,7.8,Humd1,17.3,InTemp1,-26.2,GrainTemp1,-16.1,GrainTemp2,-6.3,GrainTemp3,
Silo1,2024-05-05 15:00:00,0.0,null,0.0,null,0.0,null,14.0,GrainTemp1,-9.3,GrainTemp2,-0.3,GrainTemp3,
Silo1,2024-05-05 16:00:00,0.0,null,0.0,null,0.0,null,-20.7,GrainTemp1,7.2,GrainTemp2,3.2,GrainTemp3,
Silo1,2024-05-05 17:00:00,0.0,null,0.0,null,0.0,null,-8.7,GrainTemp1,-8.2,GrainTemp2,-85.0,GrainTemp3,
Silo1,2024-05-06 08:00:00,18.3,Temp1,29.8,Humd1,12.0,InTemp1,-8.5,GrainTemp1,12.9,GrainTemp2,8.5,GrainTemp3,
Silo1,2024-05-06 09:00:00,0.0,null,0.0,null,0.0,null,-16.6,GrainTemp1,-0.1,GrainTemp2,-46.3,GrainTemp3,
Silo1,2024-05-06 10:00:00,0.0,null,0.0,null,0.0,null,10.2,GrainTemp1,-18.6,GrainTemp2,9.0,GrainTemp3,
Silo1,2024-05-06 11:00:00,0.0,null,0.0,null,0.0,null,12.9,GrainTemp1,-1.2,GrainTemp2,-6.4,GrainTemp3,
Silo1,2024-05-06 12:00:00,0.0,null,0.0,null,0.0,null,-8.3,GrainTemp1,0.4,GrainTemp2,13.5,GrainTemp3,
Silo1,2024-05-06 13:00:00,0.0,null,0.0,null,0.0,null,-7.1,GrainTemp1,-17.8,GrainTemp2,-14.0,GrainTemp3,
Silo1,2024-05-06 14:00:00,24.7,Temp1,26.0,Humd1,14.5,InTemp1,-5.5,GrainTemp1,-11.4,GrainTemp2,0.1,GrainTemp3,
Silo1,2024-05-06 15:00:00,0.0,null,0.0,null,0.0,null,-2.0,GrainTemp1,9.0,GrainTemp2,-6.8,GrainTemp3,
Silo1,2024-05-06 16:00:00,0.0,null,0.0,null,0.0,null,3.0,GrainTemp1,-5.3,GrainTemp2,-0.5,GrainTemp3,
Silo1,2024-05-06 17:00:00,0.0,null,0.0,null,0.0,null,-11.3,GrainTemp1,11.3,GrainTemp2,11.3,GrainTemp3,
Silo1,2024-05-07 08:00:00,19.3,Temp1,28.9,Humd1,6.2,InTemp1,-17.1,GrainTemp1,7.1,GrainTemp2,-0.4,GrainTemp3,
Silo1,2024-05-07 09:00:00,0.0,null,0.0,null,0.0,null,-22.0,GrainTemp1,-3.0,GrainTemp2,-41.7,GrainTemp3,
Silo1,2024-05-07 10:00:00,0.0,null,0.0,null,0.0,null,-21.7,GrainTemp1,-1.5,GrainTemp2,7.0,GrainTemp3,
Silo1,2024-05-07 11:00:00,0.0,null,0.0,null,0.0,null,-14.2,GrainTemp1,-5.5,GrainTemp2,-47.0,GrainTemp3,
Silo1,2024-05-07 12:00:00,0.0,null,0.0,null,0.0,null,-9.5,GrainTemp1,-9.5,GrainTemp2,12.1,GrainTemp3,
Silo1,2024-05-07 13:00:00,0.0,null,0.0,null,0.0,null,-1.0,GrainTemp1,11.7,GrainTemp2,-17.1,GrainTemp3,
Silo1,2024-05-07 14:00:00,12.0,Temp1,20.3,Humd1,17.6,InTemp1,-2.8,GrainTemp1,13.0,GrainTemp2,0.4,GrainTemp3,
Silo1,2024-05-07 15:00:00,0.0,null,0.0,null,0.0,null,-13.7,GrainTemp1,8.4,GrainTemp2,4.9,GrainTemp3,
Silo1,2024-05-07 16:00:00,0.0,null,0.0,null,0.0,null,11.7,GrainTemp1,11.5,GrainTemp2,-22.1,GrainTemp3,
Silo1,2024-05-07 17:00:00,0.0,null,0.0,null,0.0,null,-10.2,GrainTemp1,-9.8,GrainTemp2,8.3,GrainTemp3,
Silo1,2024-05-08 08:00:00,12.9,Temp1,5.6,Humd1,20.5,InTemp1,-8.4,GrainTemp1,13.4,GrainTemp2,5.7,GrainTemp3,
Silo1,2024-05-08 09:00:00,0.0,null,0.0,null,0.0,null,-23.4,GrainTemp1,0.6,GrainTemp2,-51.2,GrainTemp3,
Silo1,2024-05-08 10:00:00,0.0,null,0.0,null,0.0,null,10.4,GrainTemp1,12.1,GrainTemp2,11.5,GrainTemp3,
Silo1,2024-05-08 11:00:00,0.0,null,0.0,null,0.0,null,-22.1,GrainTemp1,-0.6,GrainTemp2,-9.8,GrainTemp3,
Silo1,2024-05-08 12:00:00,0.0,null,0.0,null,0.0,null,14.9,GrainTemp1,-7.5,GrainTemp2,-21.7,GrainTemp3,
Silo1,2024-05-08 13:00:00,0.0,null,0.0,null,0.0,null,8.5,GrainTemp1,1.6,GrainTemp2,-16.9,GrainTemp3,
Silo1,2024-05-08 14:00:00,16.8,Temp1,17.4,Humd1,7.5,InTemp1,-7.8,GrainTemp1,-22.0,GrainTemp2,-14.3,GrainTemp3,
Silo1,2024-05-08 15:00:00,0.0,null,0.0,null,0.0,null,2.0,GrainTemp1,9.2,GrainTemp2,-23.9,GrainTemp3,
Silo1,2024-05-08 16:00:00,0.0,null,0.0,null,0.0,null,-15.3,GrainTemp1,-17.1,GrainTemp2,-4.5,GrainTemp3,
Silo1,2024-05-08 17:00:00,0.0,null,0.0,null,0.0,null,11.1,GrainTemp1,-12.2,GrainTemp2,-11.2,GrainTemp3,
Silo1,2024-05-09 08:00:00,20.4,Temp1,21.5,Humd1,13.5,InTemp1,5.7,GrainTemp1,-30.1,GrainTemp2,-9.8,GrainTemp3,
Silo1,2024-05-09 09:00:00,0.0,null,0.0,null,0.0,null,8.2,GrainTemp1,6.5,GrainTemp2,4.2,GrainTemp3,
Silo1,2024-05-09 10:00:00,0.0,null,0.0,null,0.0,null,-19.4,GrainTemp1,-23.5,GrainTemp2,-25.4,GrainTemp3,
Silo1,2024-05-09 11:00:00,0.0,null,0.0,null,0.0,null,13.3,GrainTemp1,-2.6,GrainTemp2,-19.9,GrainTemp3,
Silo1,2024-05-09 12:00:00,0.0,null,0.0,null,0.0,null,9.1,GrainTemp1,14.3,GrainTemp2,-30.6,GrainTemp3,
Silo1,2024-05-09 13:00:00,0.0,null,0.0,null,0.0,null,-30.7,GrainTemp1,4.7,GrainTemp2,13.9,GrainTemp3,
Silo1,2024-05-09 14:00:00,23.5,Temp1,10.8,Humd1,19.8,InTemp1,-19.9,GrainTemp1,-25.4,GrainTemp2,-12.3,GrainTemp3,
Silo1,2024-05-09 15:00:00,0.0,null,0.0,null,0.0,null,-17.0,GrainTemp1,10.5,GrainTemp2,3.8,GrainTemp3,
Silo1,2024-05-09 16:00:00,0.0,null,0.0,null,0.0,null,-28.2,GrainTemp1,-29.8,GrainTemp2,4.5,GrainTemp3,
Silo1,2024-05-09 17:00:00,0.0,null,0.0,null,0.0,null,13.9,GrainTemp1,11.8,GrainTemp2,-21.5,GrainTemp3,
Silo1,2024-05-10 08:00:00,15.8,Temp1,25.0,Humd1,10.6,InTemp1,-8.9,GrainTemp1,0.2,GrainTemp2,10.5,GrainTemp3,
Silo1,2024-05-10 09:00:00,0.0,null,0.0,null,0.0,null,12.2,GrainTemp1,-9.1,GrainTemp2,2.4,GrainTemp3,
Silo1,2024-05-10 10:00:00,0.0,null,0.0,null,0.0,null,-10.5,GrainTemp1,-17.8,GrainTemp2,-32.4,GrainTemp3,
Silo1,2024-05-10 11:00:00,0.0,null,0.0,null,0.0,null,-10.5,GrainTemp1,-14.3,GrainTemp2,-35.9,GrainTemp3,
Silo1,2024-05-10 12:00:00,0.0,null,0.0,null,0.0,null,-12.2,GrainTemp1,-1.5,GrainTemp2,8.2,GrainTemp3,
Silo1,2024-05-10 13:00:00,0.0,null,0.0,null,0.0,null,-8.0,GrainTemp1,-9.8,GrainTemp2,4.7,GrainTemp3,
Silo1,2024-05-10 14:00:00,14.7,Temp1,24.8,Humd1,19.8,InTemp1,-4.6,GrainTemp1,-18.1,GrainTemp2,-17.3,GrainTemp3,
Silo1,2024-05-10 15:00:00,0.0,null,0.0,null,0.0,null,8.1,GrainTemp1,-16.4,GrainTemp2,-15.3,GrainTemp3,
Silo1,2024-05-10 16:00:00,0.0,null,0.0,null,0.0,null,3.5,GrainTemp1,-18.2,GrainTemp2,-7.0,GrainTemp3,
Silo1,2024-05-10 17:00:00,0.0,null,0.0,null,0.0,null,-11.9,GrainTemp1,-2.0,GrainTemp2,-13.6,GrainTemp3,
Silo1,2024-05-11 08:00:00,8.3,Temp1,24.2,Humd1,15.4,InTemp1,-6.6,GrainTemp1,-2.3,GrainTemp2,-55.8,GrainTemp3,
Silo1,2024-05-11 09:00:00,0.0,null,0.0,null,0.0,null,10.6,GrainTemp1,5.5,GrainTemp2,-9.0,GrainTemp3,
Silo1,2024-05-11 10:00:00,0.0,null,0.0,null,0.0,null,7.1,GrainTemp1,12.1,GrainTemp2,-6.5,GrainTemp3,
Silo1,2024-05-11 11:00:00,0.0,null,0.0,null,0.0,null,-19.2,GrainTemp1,-5.4,GrainTemp2,6.3,GrainTemp3,
Silo1,2024-05-11 12:00:00,0.0,null,0.0,null,0.0,null,-8.2,GrainTemp1,-17.3,GrainTemp2,-5.1,GrainTemp3,
Silo1,2024-05-11 13:00:00,0.0,null,0.0,null,0.0,null,3.8,GrainTemp1,5.6,GrainTemp2,10.8,GrainTemp3,
Silo1,2024-05-11 14:00:00,12.9,Temp1,21.7,Humd1,17.5,InTemp1,8.4,GrainTemp1,8.6,GrainTemp2,-11.5,GrainTemp3,
Silo1,2024-05-11 15:00:00,0.0,null,0.0,null,0.0,null,-20.4,GrainTemp1,-3.0,GrainTemp2,6.5,GrainTemp3,
Silo1,2024-05-11 16:00:00,0.0,null,0.0,null,0.0,null,4.3,GrainTemp1,-2.4,GrainTemp2,1.8,GrainTemp3,
Silo1,2024-05-11 17:00:00,0.0,null,0.0,null,0.0,null,6.6,GrainTemp1,14.5,GrainTemp2,-20.1,GrainTemp3,
Silo1,2024-05-12 08:00:00,24.8,Temp1,11.4,Humd1,7.1,InTemp1,-19.8,GrainTemp1,-12.4,GrainTemp2,-13.8,GrainTemp3,
Silo1,2024-05-12 09:00:00,0.0,null,0.0,null,0.0,null,0.1,GrainTemp1,-17.1,GrainTemp2,3.6,GrainTemp3,
Silo1,2024-05-12 10:00:00,0.0,null,0.0,null,0.0,null,-15.6,GrainTemp1,-22.4,GrainTemp2,-33.0,GrainTemp3,
Silo1,2024-05-12 11:00:00,0.0,null,0.0,null,0.0,null,-17.5,GrainTemp1,-11.3,GrainTemp2,-12.0,GrainTemp3,
Silo1,2024-05-12 12:00:00,0.0,null,0.0,null,0.0,null,-8.8,GrainTemp1,-1.5,GrainTemp2,-8.0,GrainTemp3,
Silo1,2024-05-12 13:00:00,0.0,null,0.0,null,0.0,null,-5.4,GrainTemp1,-13.6,GrainTemp2,-16.1,GrainTemp3,
Silo1,2024-05-12 14:00:00,10.5,Temp1,17.7,Humd1,23.9,InTemp1,-9.1,GrainTemp1,-14.5,GrainTemp2,-47.4,GrainTemp3,
Silo1,2024-05-12 15:00:00,0.0,null,0.0,null,0.0,null,-16.0,GrainTemp1,-14.0,GrainTemp2,-3.5,GrainTemp3,
Silo1,2024-05-12 16:00:00,0.0,null,0.0,null,0.0,null,9.9,GrainTemp1,-13.3,GrainTemp2,8.7,GrainTemp3,
Silo1,2024-05-12 17:00:00,0.0,null,0.0,null,0.0,null,-7.7,GrainTemp1,-11.4,GrainTemp2,-51.9,GrainTemp3,
Silo1,2024-05-13 08:00:00,23.2,Temp1,12.5,Humd1,17.9,InTemp1,-15.9,GrainTemp1,-3.2,GrainTemp2,12.6,GrainTemp3,
Silo1,2024-05-13 09:00:00,0.0,null,0.0,null,0.0,null,5.8,GrainTemp1,-15.5,GrainTemp2,-9.4,GrainTemp3,
Silo1,2024-05-13 10:00:00,0.0,null,0.0,null,0.0,null,14.6,GrainTemp1,6.0,GrainTemp2,-10.3,GrainTemp3,
Silo1,2024-05-13 11:00:00,0.0,null,0.0,null,0.0,null,0.1,GrainTemp1,6.6,GrainTemp2,7.8,GrainTemp3,
Silo1,2024-05-13 12:00:00,0.0,null,0.0,null,0.0,null,2.8,GrainTemp1,-15.1,GrainTemp2,1.0,GrainTemp3,
Silo1,2024-05-13 13:00:00,0.0,null,0.0,null,0.0,null,-10.5,GrainTemp1,4.0,GrainTemp2,-16.9,GrainTemp3,
Silo1,2024-05-13 14:00:00,19.1,Temp1,30.8,Humd1,18.8,InTemp1,-11.3,GrainTemp1,-16.9,GrainTemp2,2.0,GrainTemp3,
Silo1,2024-05-13 15:00:00,0.0,null,0.0,null,0.0,null,-9.1,GrainTemp1,7.6,GrainTemp2,10.3,GrainTemp3,
Silo1,2024-05-13 16:00:00,0.0,null,0.0,null,0.0,null,-12.2,GrainTemp1,-3.9,GrainTemp2,-16.7,GrainTemp3,
Silo1,2024-05-13 17:00:00,0.0,null,0.0,null,0.0,null,-2.9,GrainTemp1,10.0,GrainTemp2,0.4,GrainTemp3,
Silo1,2024-05-14 08:00:00,25.0,Temp1,12.0,Humd1,18.2,InTemp1,-21.8,GrainTemp1,-18.3,GrainTemp2,9.3,GrainTemp3,
Silo1,2024-05-14 09:00:00,0.0,null,0.0,null,0.0,null,-9.3,GrainTemp1,-6.7,GrainTemp2,-14.4,GrainTemp3,
Silo1,2024-05-14 10:00:00,0.0,null,0.0,null,0.0,null,4.3,GrainTemp1,-17.9,GrainTemp2,-30.3,GrainTemp3,
Silo1,2024-05-14 11:00:00,0.0,null,0.0,null,0.0,null,7.6,GrainTemp1,13.1,GrainTemp2,-1.2,GrainTemp3,
Silo1,2024-05-14 12:00:00,0.0,null,0.0,null,0.0,null,-15.8,GrainTemp1,-13.9,GrainTemp2,-2.6,GrainTemp3,
Silo1,2024-05-14 13:00:00,0.0,null,0.0,null,0.0,null,-8.7,GrainTemp1,-6.7,GrainTemp2,-91.1,GrainTemp3,
Silo1,2024-05-14 14:00:00,20.1,Temp1,6.8,Humd1,6.1,InTemp1,3.8,GrainTemp1,5.5,GrainTemp2,-23.2,GrainTemp3,
Silo1,2024-05-14 15:00:00,0.0,null,0.0,null,0.0,null,-18.8,GrainTemp1,-23.7,GrainTemp2,7.1,GrainTemp3,
Silo1,2024-05-14 16:00:00,0.0,null,0.0,null,0.0,null,-7.5,GrainTemp1,-1.8,GrainTemp2,-17.6,GrainTemp3,
Silo1,2024-05-14 17:00:00,0.0,null,0.0,null,0.0,null,-13.9,GrainTemp1,-25.3,GrainTemp2,-67.3,GrainTemp3,
Silo1,2024-05-15 08:00:00,9.3,Temp1,24.7,Humd1,13.2,InTemp1,-18.0,GrainTemp1,-6.4,GrainTemp2,11.5,GrainTemp3,
Silo1,2024-05-15 09:00:00,0.0,null,0.0,null,0.0,null,9.1,GrainTemp1,-11.6,GrainTemp2,-19.8,GrainTemp3,
Silo1,2024-05-15 10:00:00,0.0,null,0.0,null,0.0,null,7.4,GrainTemp1,-10.9,GrainTemp2,-18.9,GrainTemp3,
Silo1,2024-05-15 11:00:00,0.0,null,0.0,null,0.0,null,-3.6,GrainTemp1,-9.3,GrainTemp2,-47.7,GrainTemp3,
Silo1,2024-05-15 12:00:00,0.0,null,0.0,null,0.0,null,-4.7,GrainTemp1,-5.8,GrainTemp2,-11.1,GrainTemp3,
Silo1,2024-05-15 13:00:00,0.0,null,0.0,null,0.0,null,12.9,GrainTemp1,4.9,GrainTemp2,8.9,GrainTemp3,
Silo1,2024-05-15 14:00:00,14.6,Temp1,24.8,Humd1,19.2,InTemp1,-3.6,GrainTemp1,-14.8,GrainTemp2,-42.2,GrainTemp3,
Silo1,2024-05-15 15:00:00,0.0,null,0.0,null,0.0,null,-10.0,GrainTemp1,-12.9,GrainTemp2,8.9,GrainTemp3,
Silo1,2024-05-15 16:00:00,0.0,null,0.0,null,0.0,null,1.8,GrainTemp1,-9.6,GrainTemp2,-7.2,GrainTemp3,
Silo1,2024-05-15 17:00:00,0.0,null,0.0,null,0.0,null,-11.9,GrainTemp1,-6.9,GrainTemp2,-41.8,GrainTemp3,
Silo1,2024-05-16 08:00:00,18.4,Temp1,24.9,Humd1,18.2,InTemp1,-12.4,GrainTemp1,-8.6,GrainTemp2,-34.2,GrainTemp3,
Silo1,2024-05-16 09:00:00,0.0,null,0.0,null,0.0,null,0.7,GrainTemp1,4.7,GrainTemp2,-10.8,GrainTemp3,
Silo1,2024-05-16 10:00:00,0.0,null,0.0,null,0.0,null,-6.3,GrainTemp1,1.5,GrainTemp2,14.7,GrainTemp3,
Silo1,2024-05-16 11:00:00,0.0,null,0.0,null,0.0,null,2.0,GrainTemp1,5.7,GrainTemp2,5.5,GrainTemp3,
Silo1,2024-05-16 12:00:00,0.0,null,0.0,null,0.0,null,-7.5,GrainTemp1,9.2,GrainTemp2,2.7,GrainTemp3,
Silo1,2024-05-16 13:00:00,0.0,null,0.0,null,0.0,null,-18.0,GrainTemp1,-6.2,GrainTemp2,8.6,GrainTemp3,
Silo1,2024-05-16 14:00:00,14.9,Temp1,28.9,Humd1,16.6,InTemp1,-6.2,GrainTemp1,14.1,GrainTemp2,0.2,GrainTemp3,
Silo1,2024-05-16 15:00:00,0.0,null,0.0,null,0.0,null,2.0,GrainTemp1,-15.2,GrainTemp2,2.8,GrainTemp3,
